,speed,power,crop
2018-05-18 09:46:19,6.969,217.0,0.0
2018-05-18 09:46:20,6.991,191.0,0.0
2018-05-18 09:46:21,7.06,151.0,0.0
2018-05-18 09:46:22,7.084,179.0,0.0
2018-05-18 09:46:23,6.991,148.0,0.0
2018-05-18 09:46:24,7.084,147.0,0.0
2018-05-18 09:46:25,7.178,107.0,0.0
2018-05-18 09:46:26,7.251,100.0,0.0
2018-05-18 09:46:27,7.35,132.0,0.0
2018-05-18 09:46:28,7.505,162.0,0.0
2018-05-18 09:46:29,7.531,204.0,400.0
2018-05-18 09:46:30,7.427,201.0,400.0
2018-05-18 09:46:31,7.478,197.0,400.0
2018-05-18 09:46:32,7.505,201.0,400.0
2018-05-18 09:46:33,7.505,195.0,400.0
2018-05-18 09:46:34,7.557,178.0,400.0
2018-05-18 09:46:35,7.557,178.0,400.0
2018-05-18 09:46:36,7.584,174.0,400.0
2018-05-18 09:46:37,7.584,157.0,400.0
2018-05-18 09:46:38,7.638,163.0,400.0
2018-05-18 09:46:39,7.665,137.0,400.0
2018-05-18 09:46:40,7.505,88.0,400.0
2018-05-18 09:46:41,7.531,89.0,400.0
2018-05-18 09:46:42,7.557,107.0,400.0
2018-05-18 09:46:43,7.505,140.0,400.0
2018-05-18 09:46:44,7.531,168.0,400.0
2018-05-18 09:46:45,7.584,199.0,400.0
2018-05-18 09:46:46,7.575,183.0,400.0
2018-05-18 09:46:47,7.584,150.0,400.0
2018-05-18 09:46:48,7.531,157.0,400.0
2018-05-18 09:46:49,7.557,170.0,400.0
2018-05-18 09:46:50,7.721,184.0,400.0
2018-05-18 09:46:51,7.721,159.0,400.0
2018-05-18 09:46:52,7.805,141.0,400.0
2018-05-18 09:46:53,7.805,134.0,400.0
2018-05-18 09:46:54,7.833,151.0,400.0
2018-05-18 09:46:55,7.748,149.0,400.0
2018-05-18 09:46:56,7.776,156.0,400.0
2018-05-18 09:46:57,7.693,166.0,400.0
2018-05-18 09:46:58,7.665,170.0,400.0
2018-05-18 09:46:59,7.638,170.0,400.0
2018-05-18 09:47:00,7.638,163.0,400.0
2018-05-18 09:47:01,7.638,152.0,400.0
2018-05-18 09:47:02,7.665,152.0,400.0
2018-05-18 09:47:03,7.611,144.0,400.0
2018-05-18 09:47:04,7.638,126.0,400.0
2018-05-18 09:47:05,7.721,123.0,400.0
2018-05-18 09:47:06,7.638,137.0,400.0
2018-05-18 09:47:07,7.721,145.0,400.0
2018-05-18 09:47:08,7.693,159.0,400.0
2018-05-18 09:47:09,7.748,178.0,400.0
2018-05-18 09:47:10,7.721,199.0,400.0
2018-05-18 09:47:11,7.721,199.0,400.0
2018-05-18 09:47:12,7.776,191.0,0.0
2018-05-18 09:47:13,7.776,155.0,0.0
2018-05-18 09:47:14,7.721,137.0,0.0
2018-05-18 09:47:15,7.557,103.0,0.0
2018-05-18 09:47:16,7.638,113.0,0.0
2018-05-18 09:47:17,7.602,85.0,0.0
2018-05-18 09:47:18,7.979,173.0,0.0
2018-05-18 09:47:19,8.351,302.0,0.0
2018-05-18 09:47:20,8.551,324.0,0.0
2018-05-18 09:47:21,8.654,340.0,0.0
2018-05-18 09:47:22,8.76,429.0,0.0
2018-05-18 09:47:23,8.906,393.0,0.0
2018-05-18 09:47:24,8.98,415.0,0.0
2018-05-18 09:47:25,9.172,378.0,0.0
2018-05-18 09:47:26,9.332,376.0,0.0
2018-05-18 09:47:27,9.312,350.0,0.0
2018-05-18 09:47:28,9.251,282.0,0.0
2018-05-18 09:47:29,9.414,270.0,0.0
2018-05-18 09:47:30,9.497,283.0,0.0
2018-05-18 09:47:31,9.668,325.0,0.0
2018-05-18 09:47:32,9.756,350.0,0.0
2018-05-18 09:47:33,9.756,408.0,400.0
2018-05-18 09:47:34,9.8,394.0,400.0
2018-05-18 09:47:35,9.8,375.0,400.0
2018-05-18 09:47:36,9.756,335.0,400.0
2018-05-18 09:47:37,9.668,284.0,400.0
2018-05-18 09:47:38,9.756,289.0,400.0
2018-05-18 09:47:39,9.845,211.0,400.0
2018-05-18 09:47:40,9.891,209.0,400.0
2018-05-18 09:47:41,9.983,305.0,400.0
2018-05-18 09:47:42,9.983,318.0,400.0
2018-05-18 09:47:43,9.8,381.0,400.0
2018-05-18 09:47:44,9.937,392.0,400.0
2018-05-18 09:47:45,9.891,357.0,400.0
2018-05-18 09:47:46,9.937,291.0,400.0
2018-05-18 09:47:47,9.845,248.0,400.0
2018-05-18 09:47:48,9.668,229.0,400.0
